query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	alntmscore	qtmscore	ttmscore	prob
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A6B9ZBG8_unreviewed_MACPF_domain-containing_protein_taxID_2703787_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	0.250	28	21	0	18	45	1	28	5.158E+00	2.912E-01	2.287E-01	2.912E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A941X4V9_unreviewed_MACPF_domain-containing_protein_taxID_2033407_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.266	30	18	1	14	43	4	29	4.088E+00	2.660E-01	2.140E-01	2.621E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A220SBW0_unreviewed_MACPF_domain-containing_protein_taxID_2015076_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.258	31	23	0	15	45	3	33	6.019E+00	4.051E-01	3.356E-01	3.932E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A448B3Y7_unreviewed_MACPF_domain-containing_protein_taxID_250_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.205	39	24	2	7	45	2	33	4.774E+00	2.816E-01	2.354E-01	2.816E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A3D9B8Z3_unreviewed_MACPF_domain-containing_protein_taxID_333702_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.243	37	25	1	9	45	2	35	4.774E+00	2.532E-01	2.367E-01	2.532E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A381FMT0_unreviewed_MACPF_domain-containing_protein_taxID_254_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.233	30	23	0	3	32	2	31	6.500E+00	4.039E-01	3.551E-01	3.782E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A0F5J0M6_unreviewed_MACPF_domain-containing_protein_taxID_1078087_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.166	36	30	0	9	44	2	37	5.572E+00	3.628E-01	3.301E-01	3.087E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A415DFG1_unreviewed_MACPF_domain-containing_protein_taxID_821_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.146	41	35	0	5	45	4	44	5.158E+00	2.497E-01	2.327E-01	1.896E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A966DVA7_unreviewed_MACPF_domain-containing_protein_taxID_2695265_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	0.222	27	20	1	1	26	1	27	6.019E+00	3.109E-01	2.700E-01	3.107E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A1G8CYT3_unreviewed_MACPF_domain-containing_protein_taxID_28116_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	0.250	28	21	0	18	45	3	30	7.576E+00	3.862E-01	3.060E-01	3.790E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A4Y9IN16_unreviewed_MACPF_domain-containing_protein_taxID_163665_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	0.600	10	4	0	36	45	23	32	7.576E+00	4.498E-01	1.778E-01	2.290E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A6N4XUM9_unreviewed_MACPF_domain-containing_protein_taxID_2675058_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.318	22	15	0	24	45	11	32	7.576E+00	4.153E-01	2.957E-01	3.689E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A4Q6XIN3_unreviewed_MACPF_domain-containing_protein_taxID_2484746_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.244	45	32	1	1	45	1	43	6.019E+00	3.081E-01	3.081E-01	3.081E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A108TGH1_unreviewed_MACPF_domain-containing_protein_taxID_246787_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.214	14	11	0	31	44	1	14	7.576E+00	4.678E-01	2.419E-01	1.080E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A108TDY5_unreviewed_MACPF_domain-containing_protein_taxID_246787_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	0.142	14	12	0	1	14	1	14	7.018E+00	3.812E-01	2.397E-01	9.563E-02	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A1D7QJF5_unreviewed_MACPF_domain-containing_protein_taxID_430522_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.263	38	16	1	8	45	4	29	6.500E+00	2.551E-01	2.095E-01	2.551E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A1Q6A5N6_unreviewed_MACPF_domain-containing_protein_taxID_1302689_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.244	45	18	2	1	45	1	29	6.500E+00	2.496E-01	1.687E-01	2.496E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A414BLZ8_unreviewed_MACPF_domain-containing_protein_taxID_820_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	0.288	45	16	2	1	45	1	29	6.500E+00	2.445E-01	1.780E-01	2.445E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A6I0YZ08_unreviewed_MACPF_domain-containing_protein_taxID_371601_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	0.241	29	22	0	17	45	5	33	9.501E+00	4.861E-01	3.871E-01	4.622E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A212JY78_unreviewed_MACPF_domain-containing_protein_taxID_206096_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	0.108	37	32	1	9	44	2	38	7.576E+00	3.217E-01	2.906E-01	3.178E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A7G9QB54_unreviewed_MACPF_domain-containing_protein_taxID_336820_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	0.204	44	34	1	1	44	1	43	7.018E+00	2.966E-01	2.878E-01	2.966E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A229I1M7_unreviewed_MACPF_domain-containing_protein_taxID_165179_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.189	37	26	1	4	40	2	34	6.019E+00	2.367E-01	2.087E-01	1.887E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A255T275_unreviewed_MACPF_domain-containing_protein_taxID_2024223_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.105	38	34	0	8	45	11	48	7.576E+00	3.663E-01	3.511E-01	3.114E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A3M7TD05_unreviewed_MACPF_domain-containing_protein_taxID_2305228_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.133	45	26	1	1	45	1	32	8.815E+00	3.330E-01	2.555E-01	3.330E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A401M0I4_unreviewed_MACPF_domain-containing_protein_taxID_2447885_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	0.280	25	17	1	1	24	1	25	8.174E+00	2.328E-01	1.991E-01	2.040E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A925K3N6_unreviewed_MACPF_domain-containing_protein_taxID_1940288_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	0.136	22	19	0	24	45	18	39	8.815E+00	2.588E-01	2.215E-01	2.126E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A414GUU0_unreviewed_MACPF_domain-containing_protein_taxID_821_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	0.212	47	29	3	1	44	1	42	7.576E+00	2.505E-01	2.505E-01	2.213E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A174TDY7_unreviewed_MACPF_domain-containing_protein_taxID_818_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.333	30	15	2	16	45	30	54	8.174E+00	2.717E-01	2.134E-01	1.850E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A7K0KII6_unreviewed_MACPF_domain-containing_protein_taxID_2606637_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	0.354	31	15	2	18	45	28	56	8.174E+00	3.152E-01	2.599E-01	2.160E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A7W9E313_unreviewed_MACPF_domain-containing_protein_taxID_188932_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.235	34	18	2	12	45	3	28	9.501E+00	2.590E-01	2.121E-01	2.590E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A519TPY0_unreviewed_MACPF_domain-containing_protein_taxID_1411316_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	0.294	17	11	1	1	17	1	16	8.174E+00	2.494E-01	2.304E-01	2.470E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A1I2IUF1_unreviewed_MACPF_domain-containing_protein_taxID_655355_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.175	40	29	2	8	45	3	40	8.815E+00	2.588E-01	2.408E-01	2.329E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A662ZZL9_unreviewed_MACPF_domain-containing_protein_taxID_821_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.146	41	35	0	5	45	4	44	8.815E+00	2.456E-01	2.294E-01	1.867E-01	0.000
A0A016FKL9_unreviewed_MACPF_domain-containing_protein_taxID_1339337_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A7C6M297_unreviewed_MACPF_domain-containing_protein_taxID_2030927_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.166	18	15	0	24	41	1	18	8.174E+00	2.424E-01	2.049E-01	1.099E-01	0.000
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	1.000	38	0	0	1	38	1	38	7.535E-06	1.000E+00	1.000E+00	1.000E+00	1.000
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	C3J7W9_unreviewed_MACPF_domain-containing_protein_taxID_553175_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.175	40	30	1	2	38	7	46	7.371E-01	4.291E-01	4.291E-01	3.314E-01	0.063
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A925UE49_unreviewed_MACPF_domain-containing_protein_taxID_2021370_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	0.194	36	19	1	1	26	1	36	1.274E+00	2.994E-01	2.916E-01	2.839E-01	0.014
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A3P2ACT2_unreviewed_BACON_domain-containing_protein_taxID_28113_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.088	34	27	1	9	38	79	112	4.359E+00	4.224E-01	3.857E-01	1.314E-01	0.007
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A108TGA0_unreviewed_MACPF_domain-containing_protein_taxID_246787_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	0.222	18	13	1	1	17	1	18	3.552E+00	2.809E-01	2.850E-01	1.262E-01	0.000
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A7C6M164_unreviewed_MACPF_domain-containing_protein_taxID_2030927_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	0.103	29	19	1	12	33	79	107	5.721E+00	4.369E-01	3.427E-01	1.167E-01	0.000
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A5C6KE48_unreviewed_MACPF_domain-containing_protein_taxID_823_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.062	16	15	0	10	25	57	72	7.495E+00	3.960E-01	3.073E-01	1.129E-01	0.000
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A9E6ZPU1_unreviewed_MACPF_domain-containing_protein_taxID_2926907_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	0.090	33	24	2	8	34	32	64	8.014E+00	2.995E-01	2.849E-01	1.780E-01	0.000
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A2N3IDJ8_unreviewed_MACPF_domain-containing_protein_taxID_1940525_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	0.333	12	8	0	27	38	2	13	9.151E+00	2.372E-01	1.618E-01	1.322E-01	0.000
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A7K0KII6_unreviewed_MACPF_domain-containing_protein_taxID_2606637_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	0.138	36	26	1	1	36	28	58	9.151E+00	2.321E-01	2.226E-01	1.659E-01	0.000
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A413HA14_unreviewed_MACPF_domain-containing_protein_taxID_871324_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.111	18	12	1	1	18	1	14	9.771E+00	2.373E-01	1.713E-01	6.905E-02	0.000
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A108TDY5_unreviewed_MACPF_domain-containing_protein_taxID_246787_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	0.100	20	13	1	6	25	59	73	7.008E+00	1.944E-01	1.331E-01	5.067E-02	0.000
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A120A4D7_unreviewed_MACPF_domain-containing_protein_taxID_246787_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.166	18	11	1	1	18	1	14	9.771E+00	2.128E-01	1.702E-01	6.922E-02	0.000
A0A074L2F4_unreviewed_MACPF_domain-containing_protein_taxID_1048983_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A7X8F550_unreviewed_MACPF_domain-containing_protein_taxID_2030927_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.187	16	8	1	10	25	46	56	9.151E+00	2.403E-01	1.416E-01	6.000E-02	0.000
A0A086BLQ2_unreviewed_MACPF_domain-containing_protein_taxID_558152_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A086BLQ2_unreviewed_MACPF_domain-containing_protein_taxID_558152_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	1.000	33	0	0	1	33	1	33	1.939E-05	1.000E+00	1.000E+00	1.000E+00	1.000
A0A086BLQ2_unreviewed_MACPF_domain-containing_protein_taxID_558152_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A1N7K8S4_unreviewed_MACPF_domain-containing_protein_taxID_297244_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	0.444	36	15	2	1	33	1	34	1.423E-02	4.073E-01	4.073E-01	4.011E-01	0.254
A0A086BLQ2_unreviewed_MACPF_domain-containing_protein_taxID_558152_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A1M7JKK5_unreviewed_MACPF_domain-containing_protein_taxID_1124835_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	0.444	36	15	2	1	33	1	34	4.089E-02	3.718E-01	3.718E-01	3.664E-01	0.138
A0A086BLQ2_unreviewed_MACPF_domain-containing_protein_taxID_558152_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A497VCE1_unreviewed_MACPF_domain-containing_protein_taxID_2035214_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.542	35	14	1	1	33	1	35	3.140E-02	3.591E-01	3.591E-01	3.524E-01	0.138
A0A086BLQ2_unreviewed_MACPF_domain-containing_protein_taxID_558152_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A6G7X6J1_unreviewed_MACPF_domain-containing_protein_taxID_2714926_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	0.333	33	13	1	1	33	1	24	2.594E-01	3.185E-01	2.705E-01	3.185E-01	0.034
A0A086BLQ2_unreviewed_MACPF_domain-containing_protein_taxID_558152_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A3E5CRV6_unreviewed_MACPF_domain-containing_protein_taxID_817_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	0.242	33	19	1	1	33	1	27	4.397E-01	3.413E-01	3.240E-01	3.413E-01	0.024
A0A086BLQ2_unreviewed_MACPF_domain-containing_protein_taxID_558152_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A7W9DI38_unreviewed_MACPF_domain-containing_protein_taxID_188932_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	0.352	34	15	2	1	33	1	28	2.832E-01	2.769E-01	2.537E-01	2.769E-01	0.024
A0A086BLQ2_unreviewed_MACPF_domain-containing_protein_taxID_558152_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A1M4VGC9_unreviewed_MACPF_domain-containing_protein_taxID_288992_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	0.181	33	27	0	1	33	1	33	8.139E-01	3.456E-01	3.456E-01	3.004E-01	0.014
A0A086BLQ2_unreviewed_MACPF_domain-containing_protein_taxID_558152_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A1W2DHC8_unreviewed_MACPF_domain-containing_protein_taxID_151894_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	0.181	33	26	1	1	33	1	32	1.962E+00	5.321E-01	5.321E-01	4.240E-01	0.011
